#,term,status,topic,subtopic,n_words,n_patents,tfidf,score,variants,patents
1,secondary battery,technical,Batteries,Cell & battery types,2,20,100.745,326.7,secondary battery | secondary batteries,US20160190570A1-20160630 US20160240883A1-20160818 US20160181609A1-20160623 US20160190560A1-20160630 US20160233546A1-20160811 US20160172657A1-20160616 US20160344021A1-20161124 US20160149214A1-20160526 US20160211515A1-20160721 US20160233469A1-20160811 US20160181616A1-20160623 US20160172674A1-20160616 US20160211554A1-20160721 US20160218387A1-20160728 US20160190579A1-20160630 US20160172673A1-20160616 US20160164091A1-20160609 US20160204438A1-20160714 US20160240843A1-20160818 US20160301084A1-20161013
2,electrochemical cell,technical,Batteries,Cell & battery types,2,13,73.371,233.3,electrochemical cells | electrochemical cell,US20090169978A1-20090702 US20100190059A1-20100729 US20060046125A1-20060302 US20060068288A1-20060330 US20160164120A1-20160609 US20160218404A1-20160728 US20160211562A1-20160721 US20170207470A1-20170720 US20160218380A1-20160728 US20160164141A1-20160609 US20160141604A1-20160519 US20160164075A1-20160609 US20160211528A1-20160721
3,non-aqueous electrolyte secondary battery,technical,Batteries,Cell & battery types,4,8,52.761,236.2,non-aqueous electrolyte secondary battery | nonaqueous electrolyte secondary battery | nonaqueous electrolyte secondary batteries | nonaqueous-electrolyte secondary battery,US20160149214A1-20160526 US20160211515A1-20160721 US20160172674A1-20160616 US20160211554A1-20160721 US20160172673A1-20160616 US20160164091A1-20160609 US20160204438A1-20160714 US20160240843A1-20160818
4,battery cell,technical,Batteries,Cell & battery types,2,8,85.005,179.2,battery cell | battery cells,US20160322617A1-20161103 US20160211494A1-20160721 US20160211560A1-20160721 US20160211561A1-20160721 US20170005377A1-20170105 US20160276637A1-20160922 US20160226044A1-20160804 US20160172635A1-20160616
5,lithium-ion battery,technical,Batteries,Cell & battery types,2,8,46.899,144.8,lithium ion batteries | lithium-ion battery | lithium ion battery,US20060093921A1-20060504 US20060046144A1-20060302 US20060051674A1-20060309 US20160164085A1-20160609 US20160233546A1-20160811 US20160164141A1-20160609 US20160149216A1-20160526 US20160172635A1-20160616
6,rechargeable battery,technical,Batteries,Cell & battery types,2,7,73.553,177.2,rechargeable battery,US20060088739A1-20060427 US20160248088A1-20160825 US20170092937A1-20170330 US20160226044A1-20160804 US20160164091A1-20160609 US20160164093A1-20160609 US20160301041A1-20161013
7,lithium ion secondary battery,technical,Batteries,Cell & battery types,4,4,21.746,80.2,lithium ion secondary battery | lithium ion secondary batteries | lithium-ion secondary battery,US20160190560A1-20160630 US20160233546A1-20160811 US20160149214A1-20160526 US20160190579A1-20160630
8,lithium secondary battery,technical,Batteries,Cell & battery types,3,3,31.296,86.6,lithium secondary battery,US20160190570A1-20160630 US20160344021A1-20161124 US20160181616A1-20160623
9,storage battery,technical,Batteries,Cell & battery types,2,3,50.856,84.8,storage battery | storage batteries,US20160211494A1-20160721 US20160240827A1-20160818 US20160240835A1-20160818
10,nonaqueous electrolyte battery,technical,Batteries,Cell & battery types,3,2,21.587,46.0,nonaqueous electrolyte battery,US20160226067A1-20160804 US20160126546A1-20160505
11,onboard battery,technical,Batteries,Cell & battery types,2,2,17.27,41.1,onboard battery,US20160211560A1-20160721 US20160211561A1-20160721
12,non-aqueous electrolyte rechargeable battery,technical,Batteries,Cell & battery types,4,2,12.952,40.6,non-aqueous electrolyte rechargeable battery | nonaqueous electrolyte rechargeable battery,US20160164091A1-20160609 US20160164093A1-20160609
13,flow battery,technical,Batteries,Cell & battery types,2,2,17.27,25.1,flow batteries,US20160211539A1-20160721 US20160301084A1-20161013
14,power battery,technical,Batteries,Cell & battery types,2,2,25.905,16.6,power battery,US20170005377A1-20170105 US20160204397A1-20160714
15,secondary cell,technical,Batteries,Cell & battery types,2,2,17.27,16.3,secondary cell,US20160181616A1-20160623 US20160164104A1-20160609
